F1,F2,F3,F4,F5,F6,F7,F8,F9,label
0.5836766215,0.889686357,0.8981245693,0.7469302402,0.4566363125,1.150400278,1.136279841,0.946625363,2.704392709,Person 1
0.5788694159,0.8926581705,0.8977597558,0.7442636805,0.4537970858,1.157935243,1.138101058,0.9463771292,2.702560303,Person 1
0.5793939239,0.894790942,0.9018147921,0.7562685634,0.4526354873,1.162107432,1.13624934,0.9495350436,2.693533579,Person 1
0.5838275452,0.8775888217,0.89652886,0.7451913829,0.457371377,1.139547417,1.133251254,0.9428026523,2.707663561,Person 1
0.5811918231,0.8839735797,0.9034704542,0.742123434,0.4572516562,1.127157,1.1376652,0.9404503406,2.667069775,Person 1
0.5849330308,0.890507046,0.8967639834,0.7438196099,0.4584799333,1.128186775,1.137547477,0.9437432313,2.674539332,Person 1
0.5745667135,0.8840017632,0.894323643,0.7283353992,0.4524951917,1.137171562,1.136749119,0.9453770358,2.69355143,Person 1
0.5595308872,0.8891671558,0.9108855707,0.7609723184,0.4557937401,1.123977596,1.117621676,0.8676824851,2.778106552,Person 1
0.5816634481,0.9025192309,0.9015285316,0.7276723136,0.4630647618,1.045228895,1.098689649,0.7780595728,2.830446337,Person 2
0.6161319382,0.9118489338,0.9182750258,0.7651174498,0.4532119977,1.182589371,1.098327121,0.9076893126,2.783622828,Person 2
0.6446187416,0.9080321447,0.926880821,0.7705408743,0.4482104789,1.18725556,1.103497605,0.8975772353,2.7139945,Person 2
0.5762506485,0.8864181469,0.9128303008,0.7735869373,0.4510499665,1.156533872,1.104414011,0.9420790035,2.746508354,Person 2
0.5961917198,0.9026900274,0.9227702514,0.763212986,0.4530367831,1.122051215,1.097240486,0.8538464782,2.865516922,Person 2
0.6004759427,0.9204906991,0.911095731,0.7348026217,0.4599119154,1.165194055,1.09475664,0.8256471069,2.846457781,Person 2
0.6115786571,0.9180669606,0.9404406252,0.7796171446,0.4500747029,1.131541142,1.094261916,0.8422108714,2.769813233,Person 2
0.5816634481,0.9025192309,0.9015285316,0.7276723136,0.4630647618,1.045228895,1.098689649,0.7780595728,2.830446337,Person 2
0.5543776221,0.8586197209,0.9253791883,0.7340968267,0.4498742867,1.184838482,1.107113393,0.9224625989,2.813124405,Person 3
0.5783736503,0.8686051841,0.9183984203,0.7321993565,0.4559180462,1.132958945,1.101352983,0.9150487833,2.82571585,Person 3
0.568282743,0.8608765481,0.955858837,0.8049403139,0.4533688151,1.214014583,1.117480775,0.9225778782,2.770259377,Person 3
0.5765627326,0.8587131956,0.9428268431,0.7794324269,0.4538883251,1.155661684,1.100454302,0.8806841854,2.818484037,Person 3
0.5628858793,0.8537844141,0.9346822504,0.7530390909,0.4594241366,1.124072823,1.096562512,0.8545726165,2.755925991,Person 3
0.568282743,0.8608765481,0.955858837,0.8049403139,0.4533688151,1.214014583,1.117480775,0.9225778782,2.770259377,Person 3
0.5543776221,0.8586197209,0.9253791883,0.7340968267,0.4498742867,1.184838482,1.107113393,0.9224625989,2.813124405,Person 3
0.5783736503,0.8686051841,0.9183984203,0.7321993565,0.4559180462,1.132958945,1.101352983,0.9150487833,2.82571585,Person 3
0.5486876378,0.8694053688,0.9041625706,0.7466915318,0.4382033872,1.166199465,1.125341116,0.9723875178,2.644535841,Person 4
0.5588553091,0.8716312798,0.9051102174,0.7592944318,0.4382989018,1.165434928,1.129384322,0.9702439984,2.677701219,Person 4
0.5656818377,0.8665079141,0.8986766577,0.7520067853,0.4428425469,1.158777556,1.125274698,0.9787001348,2.740404122,Person 4
0.5682868346,0.8669948061,0.9051128766,0.7818548924,0.4417697447,1.159995746,1.130950371,0.9793896368,2.706904561,Person 4
0.5639512945,0.868416299,0.9110121987,0.7909044822,0.4404497855,1.149550336,1.130234615,0.9711754868,2.739838768,Person 4
0.5572113148,0.8677612652,0.9064730735,0.7746700312,0.4428659034,1.151117523,1.129608323,0.9742766653,2.742477891,Person 4
0.5773911941,0.8761708927,0.9196362839,0.791589518,0.4424748714,1.132246759,1.106013168,0.804400547,2.784046626,Person 4
0.5716973324,0.8915739005,0.9159644741,0.7928129672,0.4405775826,1.135154845,1.120963637,0.7968488009,2.822153698,Person 4
0.6044338278,0.8642876772,0.9005651847,0.7640038962,0.4427459039,1.110279543,1.104569325,0.8208667059,2.92877255,Person 4
0.6092149262,0.8654532976,0.8977959187,0.7728594495,0.4414898004,1.142903042,1.100830735,0.8331583186,2.903709438,Person 5
0.6012173102,0.8720252298,0.9027176723,0.7719036852,0.4433366203,1.125414151,1.100364369,0.8319806533,2.940081467,Person 5
0.6220027584,0.8705491299,0.9103648059,0.7726094753,0.4427715467,1.148311176,1.100718487,0.8329186118,2.943824048,Person 5
0.617659555,0.8704967243,0.9115915358,0.7644899339,0.4433996804,1.151277459,1.102167645,0.8335926782,2.960473727,Person 5
0.6211119669,0.8691661343,0.9057059263,0.7660685446,0.4443225084,1.129249103,1.100107794,0.8307660087,2.935222891,Person 5
0.5979049354,0.8640479959,0.8954688141,0.7671637489,0.4428927413,1.138359061,1.105158376,0.8380833629,2.910587805,Person 5
0.6060784555,0.8631237443,0.9112703194,0.7712535528,0.4430295756,1.125925355,1.103447454,0.8269116918,2.902841462,Person 5